Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_FxFx_ext_InverseModel/Inverse_FxFx.yoda/CMS_2018_I1667854/d14-x01-y01
ScaledBy=1.33340494606868614e-08
Title=Inverse_FxFx
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e+01	7.131107e-01	4.960917e-03	4.960917e-03
1.500000e+01	3.000000e+01	7.569940e-01	5.356121e-03	5.356121e-03
3.000000e+01	4.500000e+01	3.866229e-01	3.822975e-03	3.822975e-03
4.500000e+01	6.000000e+01	1.591128e-01	2.409878e-03	2.409878e-03
6.000000e+01	8.000000e+01	6.330150e-02	1.283256e-03	1.283256e-03
8.000000e+01	1.000000e+02	2.921009e-02	8.212072e-04	8.212072e-04
1.000000e+02	1.250000e+02	1.456023e-02	5.010389e-04	5.010389e-04
1.250000e+02	1.500000e+02	6.282412e-03	3.536014e-04	3.536014e-04
1.500000e+02	1.750000e+02	2.798245e-03	2.572203e-04	2.572203e-04
1.750000e+02	2.000000e+02	1.940844e-03	2.037050e-04	2.037050e-04
# END HISTO1D

